Aikaleima,Artist,Song,Anime/TV show
,Tackey & Tsubasa,"One Day, One Dream ",InuYasha
,Nanase Aikawa,Owarinai Yume ,InuYasha
,Do As Infinity,Shinjitsu no Uta ,InuYasha
,AAA,With You ,InuYasha
,Yayoi Goto,Tokete Iku Yume no Hate ni ,Iria: Zeiram The Animation
,Saeko,Yume wa Toi Keredo ,Iria: Zeiram The Animation
,Yuka Iguchi,Ichibanboshi Sonority,Isekai Ojisan
,Mayu Maeshima,story,Isekai Ojisan
,Sora Amamiya,Kanade ,Isshuukan Friends
,Natsumi Kon,Niji no Kakera ,Isshuukan Friends
,Afilia Saga,Never say Never ,Isuca
,AZU,Jikan yo Tomare feat. SEAMO ,Itazura na Kiss
,Akiko Shikata,Utsusemi ,Itsuka Tenma no Kuro Usagi
,Golden Ixion Bomber DT,DT Suteru ,Ixion Saga
,Golden Ixion Bomber DT,Let's Go ED ,Ixion Saga
,M Three,Your Love ,Jewelpet
,Yumi Matsuzawa,Dare mo Shiranai Chizu de ,Jibaku-kun
,TWO-MIX,Last Tears ,Jibaku-kun
,Mamiko Noto,Ichi Nuke ,Jigoku Shoujo
,Mamiko Noto,Karinui (Jigoku Shoujo Ending Theme),Jigoku Shoujo
,SNoW,NightmaRe ,Jigoku Shoujo
,SNoW,Sakasama no Chou ,Jigoku Shoujo
,Nana Kitade,Tsukihana ,Jigoku Shoujo Mitsuganae
,Kanako Itou,Shukugou no Tsurugi ,Jingai Makyou
,nano.RIPE,Real World ,Jinrui wa Suitai Shimashita
,Ars Magna,Himitsu wo Choudai ,Jitsu wa Watashi wa
,Oingo & Boingo,Akuyaku Concerto ~Oingo and Boingo~ ,Jojo no Kimyou na Bouken
,Coda,Bloody Stream ,Jojo no Kimyou na Bouken
,Batta,Chase ,Jojo no Kimyou na Bouken
,THE DU,Crazy Noisy Bizarre Town ,Jojo no Kimyou na Bouken
,Coda,Fighting Gold ,Jojo no Kimyou na Bouken
,Karen Aoki & Daisuke Hasegawa,Great Days ,Jojo no Kimyou na Bouken
,"JO?STARS ~TOMMY,Coda,JIN~",Jojo,Jojo no Kimyou na Bouken
,Hiroaki TOMMY Tominaga,Jojo ~Sono Chi no Sadame~ ,Jojo no Kimyou na Bouken
,Jin Hashimoto,STAND PROUD ,Jojo no Kimyou na Bouken
,Daisuke Hasegawa,Uragirimono no Requiem ,Jojo no Kimyou na Bouken
,Nagi Yanagi,Ambivalentidea ,Jormungand
,Mami Kawada,Borderland ,Jormungand
,Nagi Yanagi,Shiroku Yawaraka na Hana ,Jormungand
,Maon Kurosaki,Undershaft ,Jormungand
,meg rock,incl. ,Joshikousei: Girl's High
,Momoiro Clover Z,Nippon Egao Hyakkei ,Joshiraku
,Soushi Sakiyama,Akari,Jujutsu Kaisen
,Tatsuya Kitani,Ao No Sumika,Jujutsu Kaisen
,Eve,Kaikai Kitan,Jujutsu Kaisen
,King Gnu,SPECIALZ,Jujutsu Kaisen
,Sister Mayo,Love Tropicana ,Jungle wa itsumo Hare nochi Guu
,Fo'xTails,Innocent Graffiti ,Junjou Romantica
,Pigstar,Kimi = Hana ,Junjou Romantica
,Pigstar,Shoudou ,Junjou Romantica
,ZAQ,Philosophy of Dear World ,Junketsu no Maria
,Panorama Panama Town,Rapture ,Juuni Taisen
,TRUSTRICK,Flying Fafnir ,Juuou Mujin no Fafnir
,Koichi Domoto,Deep In Your Heart ,Jyu Oh Sei
,Angela,KINGS ,K
,Mikako Komatsu,"Tsumetai Heya, Hitori ",K
,K-ON!,Cagayake girls ,K-On!
,Houkago Tea Time,Curry Nochi Rice ,K-On!
,K-ON!,Don't say lazy ,K-On!
,Houkago Tea Time,Fude Pen Booru Pen ,K-On!
,K-ON!,Fuwa fuwa time ,K-On!
,Houkago Tea Time,Gohan wa Okazu ,K-On!
,Aki Toyosaki,Ichiban Ippai ,K-On!
,DEATH DEVIL,LOVE ,K-On!
,Houkago Tea Time,My Love is a Stapler ,K-On!
,K-ON!,"No, Thank You! ",K-On!
,Youko Hikasa,Singing! ,K-On!
,Aki Toyosaki,Tenshi Ni Fureta Yo ,K-On!
,Houkago Tea Time,Tenshi ni Fureta yo ,K-On!
,Houkago Tea Time,U & I ,K-On!
,Houkago Tea Time,Utauyo!! MIRACLE ,K-On!
,K-ON!!,Go! Go! Maniac! ,K-On!!
,K-ON!!,Listen!! ,K-On!!
,K-ON!!,"No, Thank You! ",K-On!!
,Yui Horie,Asymmetry ,K: Return of the Kings
,FripSide,fermata ~Akkord fortissimo~ ,Kadenz Fermata//Akkord:Fortissimo
,OxT,HIGHEST ,Kage no Jitsuryokusha ni Naritakute
,Konomi Kohara,Chikatto Chika Chika,Kagua-sama: Love is war
,Masayuki Suzuki ft. Airi Suzuki,DADDY! DADDY! DO! ,Kagua-sama: Love is war
,Masayuki Suzuki ft. Suu,GIRI GIRI ,Kagua-sama: Love is war
,Masayuki Suzuki ft. Rikka Ihara,Love Dramatic ,Kagua-sama: Love is war
,Ali Project,Hizamazuite Ashi wo Oname ,Kaibutsu OUjo
,heidi.,Loop ,Kaichou wa Maid-sama
,Saaya Mizuno,My Secret ,Kaichou wa Maid-sama
,heidi.,Yokan ,Kaichou wa Maid-sama
,ARCANA PROJECT,Yume de Sekai wo Kaeru nara ,Kaifuku Jutsushi no Yarinaoshi
,YUNGBLUD,Abyss,Kaijuu 8-gou
,OneRepublic,Nobody,Kaijuu 8-gou
,Yasuko Matsuyuki,Toki o Koete ,Kaitou Saint Tail
,Tia,Deal with devil ,Kakegurui
,Reversed,Ichikabachika ,Kakegurui
,D-Selections,LAYon-theLINE ,Kakegurui
,T.M.Revolution x Nana Mizuki,Kakumei Dualism,Kakumeiki Valvrave
,T.M.Revolution x Nana Mizuki,Preserved Roses,Kakumeiki Valvrave
,ELISA,REALISM ,Kakumeiki Valvrave
,ELISA,Soba ni Iru yo ,Kakumeiki Valvrave
,Nao Touyama,Tomoshibi no Manimani ,Kakuriyo no Yadomeshi
,Nano,Utsushiyo no Yume ,Kakuriyo no Yadomeshi
,r.o.rs,Tattoo Kiss ,Kaleido Star
,RIDER CHIPS,Elements ,Kamen Rider Blade
,Oratorio The World God Only Knows,God Only Knows ,Kami nomi zo Shiru Sekai
,Oratorio The World God Only Knows,A Whole New World God Only Knows ,Kami nomi zo Shiru Sekai II
,Ali Project,Ankoku Tengoku ,Kamichama Karin
,"Apollon, Hades, Tsukito, Takeru, Balder, Loki",REASON FOR... ,Kamigami no Asobi
,"Apollon, Hades, Tsukito, Takeru, Balder, Loki",TILL THE END ,Kamigami no Asobi
,Chiaki Ishikawa,Fukanzen Nenshou ,Kamisama Dolls
,Hanae,Kamisama Hajimemashita ,Kamisama Hajimemashita
,Hanae,Kamisama no Kamisama ,Kamisama Hajimemashita
,Hanae,Kamisama Onegai ,Kamisama Hajimemashita
,Mai Mizuhashi,Brand New Morning ,Kamisama Kazoku
,Eri Kitamura,Birth ,Kamisama no Inai Nichiyoubi
,Haruka Tomatsu,Motto Hade ni ne! ,Kannagi: Crazy Shrine Maidens
,Kotoko,Agony ,Kannazuki no Miko
,Kotoko,Re-sublimity ,Kannazuki no Miko
,Ayana,Kaze no Tadori Tsuku Basho ,Kanon
,Shiena Nishizawa,Fubuki ,Kantai Collection
,AKINO from bless4,Miiro ,Kantai Collection
,Tatsuya Kitani,Manazashi wa hikari,Kaoru hana wa Rin to saku
,Mai Fukuda,Tenshi no Yubikiri ,Karekano
,Fukuda Mai,Tenshi no Yubikiri ,Kareshi Kanojo no Jijou
,Atsuko Enomoto & Chihiro Suzuki,Yume no Naka e ,Kareshi Kanojo no Jijou
,Fm.Theta,Mou hitotsu no birthday ,Karin
,BRACE;d,Scarlet ,Karin
,GRANRODEO,Henai no Rondo ,Karneval
,Supercell,Hakushu Kassai Utaawase ,Katanagatari
,Ali Project,Katana to Saya ,Katanagatari
,Minami Kuribayashi,Meiya Kadenrou ,Katanagatari
,LM.C,88,Katekyou HItman Reborn!
,W-inds,Ameato ,Katekyou HItman Reborn!
,LM.C,Boys & Girls ,Katekyou HItman Reborn!
,Plus,Canvas ,Katekyou HItman Reborn!
,Cherryblossom,Dive To World ,Katekyou HItman Reborn!
,SPLAY,Drawing days ,Katekyou HItman Reborn!
,Kazuki Kato,Easy Go ,Katekyou HItman Reborn!
,SxOxU,Funny Sunny Day ,Katekyou HItman Reborn!
,Mitsuoka Masami,Last Cross ,Katekyou HItman Reborn!
,Going Under Ground,Listen to the Stereo ,Katekyou HItman Reborn!
,Cherryblossom,Sakura Rock ,Katekyou HItman Reborn!
,Mori Tsubasa,Suberidai ,Katekyou HItman Reborn!
,Cherryblossom,Yume no Manual ,Katekyou HItman Reborn!
,BUMP OF CHICKEN,"Hello, world! ",Kekkai Sensen
,Daoko x Yasuyuki Okamura,Step Up LOVE ,Kekkai Sensen
,UNISON SQUARE GARDEN,Sugar Song to Bitter Step ,Kekkai Sensen
,Doubutsu Biscuits x PPP,Youkoso Japari Park e ,Kemono Friends
,Sukima Switch,Shizuku ,Kemono no Souja
,Yazumi Kana,Be Strong ,Kenichi
,Nami Tamaki,Sanctuary ,Kiba
,Yoshifumi Ushima,Flying In The Sky ,Kidou Butouden G Gundam
,Houko Kuwashima,Watashi Rashiku ,Kidou Senkan Nadesico
,Yumi Matsuzawa,You Get to Burning ,Kidou Senkan Nadesico
,BLUE ENCOUNT,Survivor ,Kidou Sens
,Koh Ikeda,Eien ni Amuro ,Kidou Senshi Gundam
,The Brilliant Green,Ash Like Snow ,Kidou Senshi Gundam 00
,L'Arc~en~Ciel,Daybreak's Bell ,Kidou Senshi Gundam 00
,Stereopony,Namida no Mukou ,Kidou Senshi Gundam 00
,Chiaki Ishikawa,Prototype ,Kidou Senshi Gundam 00
,The Back Horn,Wana ,Kidou Senshi Gundam 00
,The Back Horn,Tozasareta Sekai ,Kidou Senshi Gundam 00 The Movie
,SPYAIR,My World,Kidou Senshi Gundam AGE
,ViViD,Real ,Kidou Senshi Gundam AGE
,Negoto,Sharp # ,Kidou Senshi Gundam AGE
,Faylan,WHITE justice ,Kidou Senshi Gundam AGE
,Taja,Yume Wadachi ,Kidou Senshi Gundam MS IGLOO: Apocalypse 0079
,Taja,Sora no Tamoto ,Kidou Senshi Gundam MS IGLOO: The Hidden One Year War
,GARNiDELiA,Blazing ,Kidou Senshi Gundam Reconguista in G
,See-Saw,Anna ni Issho Datta no Ni ?ReTracks ,Kidou Senshi Gundam Seed
,Nami Tamaki,Believe ,Kidou Senshi Gundam Seed
,FictionJunction,Distance ,Kidou Senshi Gundam SEED
,T.M.Revolution,Invoke ,Kidou Senshi Gundam SEED
,Vivian or Kazuma,Moment ,Kidou Senshi Gundam Seed
,Nami Tamaki,Realize ,Kidou Senshi Gundam Seed
,HIGH and MIGHTY COLOR,Enrai ~Tooku ni Aru Akari~ ,Kidou Senshi Gundam Seed Destiny
,T.M.Revolution,ignited ,Kidou Senshi Gundam SEED Destiny
,See-Saw,Kimi wa Boku ni Niteiru ,Kidou Senshi Gundam Seed Destiny
,Mika Arisaka,Life Goes On ,Kidou Senshi Gundam Seed Destiny
,HIGH and MIGHTY COLOR,Pride ,Kidou Senshi Gundam Seed Destiny
,Nami Tamaki,Reason ,Kidou Senshi Gundam Seed Destiny
,Nami Tamaki,Result ,Kidou Senshi Gundam Seed Destiny
,SawanoHiroyuki[nZk] Tielle,Into the Sky ,Kidou Senshi Gundam Unicorn
,SawanoHiroyuki[nZk] naNami,Next 2 U -eUC- ,Kidou Senshi Gundam Unicorn
,Aimer,RE I AM ,Kidou Senshi Gundam Unicorn
,Aimer,StarRingChild ,Kidou Senshi Gundam Unicorn
,Masato Arai,Anime Ja Nai ,Kidou Senshi Gundam ZZ
,Jun Hiroe,Silent Voice ,Kidou Senshi Gundam ZZ
,Chihiro Yonekura,Arashi no Naka de Kagayaite ,Kidou Senshi Gundam: Dai 08 MS Shoutai
,Shiyui,Kimi yo Kedakaku Are ,Kidou Senshi Gundam: Suisei no Majo
,YOASOBI,Shukufuku ,Kidou Senshi Gundam: Suisei no Majo
,KANA-BOON,Fighter,Kidou Senshi Gundam: Tekketsu no Orphans
,Misia,Orphans no Namida,Kidou Senshi Gundam: Tekketsu no Orphans
,SPYAIR,RAGE OF DUST,Kidou Senshi Gundam: Tekketsu no Orphans
,SPYAIR,RAGE OF DUST,Kidou Senshi Gundam: Tekketsu no Orphans
,Man With A Mission,Raise Your Flag ,Kidou Senshi Gundam: Tekketsu no Orphans
,Tomohisa Kawasoe,Stand Up To The Victory ,Kidou Senshi Victory Gundam
,INFIX,Winners Forever ,Kidou Senshi Victory Gundam
3.12.2023 klo 22.43.08,Hiroko Moriguchi,Mizu no Hoshi e Ai wo Komete,Kidou Senshi Zeta Gundam
,Mami Ayukawa,Zeta: Toki wo koete,Kidou Senshi Zeta Gundam
,Atsuko Enomoto,Be My Angel ,Kidou Tenshi Angelic Layer
,HAL,The Starry Sky ,Kidou Tenshi Angelic Layer
,GARNiDELiA,Ambiguous ,Kill la Kill
,Cyua,Blumenkranz,Kill la Kill
,Miku Sawai,"Gomen ne, Iiko ja Irarenai. ",Kill la Kill
,Eir Aoi,Sirius ,Kill la Kill
,Mutsumi Tamura & Chinatsu Akasaki,Futari no Kimochi no Honto no Himitsu ,Kill me Baby
,LiSA,Akeboshi,Kimetsu no Yaiba
,Aimer,Asa ga Kuru ,Kimetsu no Yaiba
,FictionJunction feat. LiSA,from the edge ,Kimetsu no Yaiba
,LiSA,Gurenge ,Kimetsu no Yaiba
,LiSA,homura,Kimetsu no Yaiba
,My First Story x Hyde,Mugen,Kimetsu no Yaiba
,Aimer,Zankyou sanka ,Kimetsu no Yaiba
,Chara,Kataomoi ,Kimi ni Todoke
,MAY'S,Kimi ni Todoke ,Kimi ni Todoke
,Tomofumi Tanizawa,Kimi ni Todoke ,Kimi ni Todoke
,Tomofumi Tanizawa,Sawakaze ,Kimi ni Todoke
,Yoshimasa Hosoya,Kimi no Iru Machi ,Kimi no iru Machi
,RADWIMPS,Nandemo nai ya,Kimi no Na wa
,RADWIMPS,Sparkle,Kimi no Na wa
,RADWIMPS,Yume Tourou,Kimi no Na wa
,RADWIMPS,Zen Zen Zense,Kimi no Na wa
,7!!,Bye Bye ,Kimi to Boku
,Tokyo Performance Doll,BRAND NEW STORY ,Kindaichi Shounen no Jikenbo Returns
,flower,Hitomi no Oku no Milky Way ,Kindaichi Shounen no Jikenbo Returns
,Rei Yasuda,Passcode 4854 ,Kindaichi Shounen no Jikenbo Returns
,7!!,Start Line ,Kindaichi Shounen no Jikenbo Returns
,MUCC,"Yue ni, Matenrou ",Kindaichi Shounen no Jikenbo Returns
,Yuuki Wakai,Destiny Sky ,Kingdom
,The Sketchbook,Exit ,Kingdom
,Dasoku,Never Ending ,Kingdom
,Nothing's Carved In Stone,Pride ,Kingdom
,Takumi Ishida,Voice of Soul ,Kingdom
,Kanon,Brand New Breeze ,Kiniro no Corda
,Daichi Miura,It's the right time ,Kiseijuu: Sei no Kakuritsu
,"Fear, and Loathing in Las Vegas",Let me hear ,Kiseijuu: Sei no Kakuritsu
,Hironobu Kageyama,Vajura on! ,Kishin Douji Zenki
,Ayana Taketatsu & Yuiko Tatsumi,Balance KISS ,Kiss x Sis
,YuiKaori,Our Steady Boy ,Kiss X Sis
,Maaya Sakamoto,Magic Number ,Kobato
,fhána,Aozora no Rhapsody ,Kobayashi-san Chi no Maid Dragon
,Little Non,"1, 2, 3 Day ",Kodomo no Jikan
,Little Non,Hanamaru Sensation ,Kodomo no Jikan
,"Eri Kitamura, Kei Shindou & Mai Kadowaki",Rettsu! Ohime-sama Dakko ,Kodomo no Jikan
,Still Small Voice,Panic! ,Kodomo no Omocha
,Tomoe Shinohara,Ultra Relax ,Kodomo no Omocha
,Roys,Can't you say ,Koi to Uso
,Frederic,Kanashii Ureshii ,Koi to Uso
,Aimer,Ref_rain ,Koi Wa Ameagari no You ni
,FripSide,Flower of Bravery ,Koihime Musou
,Boku no Lyric no Bouyomi,Asayake to Nettaigyo ,Kokkoku
,MIYAVI vs. KenKen,Flashback ,Kokkoku
,Nana Mizuki,Starting Now! ,Kono Bijutsubu ni wa Mondai ga Aru!
,Machico,Fantastic Dreamer ,Konosuba
,Machico,TOMORROW ,Konosuba
,Rie Yamaguchi,Kizuite Zombie-sama Watashi Wa Classmate Desu ,Kore wa Zombie Desu ka?
,Iori Nomizu,Ma-Ka-Se-Te Tonight ,Kore wa Zombie Desu ka?
,Nomizu Iori,Ma-Ka-Se-Te Tonight ,Kore wa Zombie Desu ka?
,Rie Yamaguchi,Koi no Beginner Nan Desu (T_T) ,Kore wa Zombie Desu ka? of the Dead
,Iori Nomizu,Passionate ,Kore wa Zombie Desu ka? of the Dead
,Megumi Nakajima,Sonna Koto Ura no Mata Urabanashi Desho ,Kotoura-san
,Maaya Sakamoto,Shiawase ni Tsuite Watashi ga Shitteiru Itsutsu no Houhou ,Koufuku Graffiti
,ZAQ,hopeness ,Koukaku no Pandora
,Egoist,Kabaneri of the Iron Fortress ,Koutetsujou no Kabaneri
,Aimer with Chelly (Egoist),Ninelie ,Koutetsujou no Kabaneri
,Kalafina,M„rchen ,Kubikiri Cycle: Aoiro Savant to Zaregototsukai
,Ali Project,Kitei no Tsurugi ,Kurogane no Linebarrels
,GRANRODEO,Can Do ,Kuroko no Basket
,OLDCODEX,Catal Rhythm ,Kuroko no Basket
,Kensho Ono,Fantastic Tune ,Kuroko no Basket
,GRANRODEO,Hengenjizai no Magical Star ,Kuroko no Basket
,OLDCODEX,Lantana ,Kuroko no Basket
,GRANRODEO,Memories ,Kuroko no Basket
,GRANRODEO,Punky Funky Love ,Kuroko no Basket
,GRANRODEO,RIMFIRE ,Kuroko no Basket
,GRANRODEO,The Other self ,Kuroko no Basket
,OLDCODEX,WALK ,Kuroko no Basket
,Kensho Ono,ZERO ,Kuroko no Basket
,AKIRA,Aoki Tsuki Michite ,Kuroshitsuji
,Yuya Matsushita,Bird ,Kuroshitsuji
,SID,ENAMEL ,Kuroshitsuji
,Becca,I'm Alive! ,Kuroshitsuji
,Kalafina,Kagayaku Sora no Shijima ni wa ,Kuroshitsuji
,Kalafina,Lacrimosa ,Kuroshitsuji
,SID,Monochrome no kiss ,Kuroshitsuji
,The Gazette,Shiver ,Kuroshitsuji
27.6.2024 klo 14.45.34,Ryokuoushoku Shakai,Hana ni natte,Kusuriya no Hitorigoto
,Uru,Ambivalent,Kusuriya no Hitorigoto
,Iori Nomizu,D.O.B. ,Kuusen Madoushi Kouhosei no Kyoukan
,Sayuri,Heikousen ,Kuzu no Honkai
,Mirai Stars,Yakusoku no Kizuna ,Kyokai no Kanata
,The Stand Up,Hateshinaku Tooi Sora ni ,Kyou Kara Maou
,STEREO DIVE FOUNDATION,Daisy ,Kyoukai no Kanata
,Minori Chihara,Kyoukai no Kanata ,Kyoukai no Kanata
,Mirai Stars,Yakusoku no Kizuna,Kyoukai no Kanata
,KEYTALK,Oukaranman ,Kyoukai no Rinne
,Passepied,Ura no Ura ,Kyoukai no Rinne
,Aira Yuuki,Kanashimi wa Dare no Negai Demo nai ,Kyoukaisenjou no Horizon
,Masami Okui,Sora no Uta ,Kyoukaisenjou no Horizon
,Ceui,Stardust Melodia ,Kyoukaisenjou no Horizon
,Minori Chihara,Terminated ,Kyoukaisenjou no Horizon
,Minori Chihara,Zone Alone ,Kyoukaisenjou no Horizon
,MOSAIC.WAV,Chousai Kenbo Sengen ,Kyouran Kazoku Nikki
,Hitomi Harada,Magenta Another Sky ,La storia della Arcana Famiglia
,Jun Fukuyama & Tsubasa Yonaga,Pieces of Treasure ,La storia della Arcana Famiglia
,Ayako Kawasumi,Love x Heaven ,Ladies versus Butlers!
,Suzuko Mimori,Light for Knight ,Lance N' Masques
,Shuntaro Okino,Cloud Age Symphony ,Last Exile
,Ed Brenneisen,Burning Bright ,League of Legends
,Kanae Asaba,Endless Starlight ,League of Legends
,Kanako Itou,Fates Fall -Kibou no In- ,League of Legends
,Stereopony,Chiisana Mahou ,Letter Bee
,Suga Shikao feat. Mummy-D,Hajimari no Hi ,Letter Bee
,Seira,Love Letter no Kawari ni Kono Uta wo ,Letter Bee
,Yamazaru,Perseus ,Letter Bee
,Piko,Wasurenagusa ,Letter Bee
,Yu Jiaoyan,Mugendai ,Ling Qi (Spiritpact)
,Bai Sha JAWS,Dive Back in Time ,Link Click
,Bai Sha JAWS,The Eye,Link Click
,Bai Sha JAWS,Vortex,Link Click
,Rita,Alicemagic ,Little Busters!
,Rita,Little Busters! ,Little Busters!
,Maaya Sakamoto,Kiseki No Umi ,Lodoss-tou Senki
,Man With A Mission,Database feat. Takuma (10 Feet) ,Log Horizon
,Yun chi,Wonderful Wonder World ,Log Horizon
,Yun chi,Your Song ,Log Horizon
,ASCA,Hibari ,Lord El-Melloi II Sei no Jikenbo
,Megumi Hayashibara,Extrication ,Lost Universe
,Megumi Hayashibara,Infinity ,Lost Universe
,Cyua,I ,Lostorage Conflated WIXOSS
,Yuka Iguchi,Lostorage ,Lostorage Conflated WIXOSS
,Yuka Iguchi,UNLOCK ,Lostorage Conflated WIXOSS
,Cyua,undeletable ,Lostorage Incited WIXOSS
,Yui Horie & Ueda Yuji,"Be for You, Be for Me ",Love Hina
,Yui Horie,Egao no Mirai e ,Love Hina
,Megumi Hayashibara,Kimi Sae Ireba ,Love Hina
,Yui Horie,Kirari takaramono ,Love Hina
,Love Hina Christmas Special,Shukufuku ,Love Hina
,Yui Horie & Satsuki Yukino,Smile Smile ,Love Hina
,æ's,Aishiteru Banzai! ,Love Live!
,æ's,Angelic Angel ,Love Live!
,Aqours,Aozora Jumping Heart ,Love Live!
,æ's,Bokura no LIVE Kimi to no LIFE ,Love Live!
,æ's,Bokura wa Ima no Naka de ,Love Live!
,æ's,Donna Toki mo Zutto ,Love Live!
,Aqours,Kimeta Yo Hand in Hand ,Love Live!
,æ's,KiRa-KiRa Sensation! ,Love Live!
,æ's,Kitto Seishun ga Kikoeru ,Love Live!
,æ's,Love Wing Bell ,Love Live!
,Aqours,Mirai no Bokura wa Shitteru yo ,Love Live!
,A-RISE,Shocking Party ,Love Live!
,æ's,Snow Halation ,Love Live!
,æ's,Sore wa Bokutachi no Kiseki ,Love Live!
,æ's,START-DASH!! ,Love Live!
,Guilty Kiss,Strawberry Trapper ,Love Live!
,"Emi Nitta, Aya Uchida & Suzuko Mimori",Susume-Tomorrow ,Love Live!
,æ's,Wonder Zone ,Love Live!
,Aqours,Yume Kataru Yori Yume Utaou ,Love Live!
,Kaori Hikita,Michiyuki ,Loveless
,Okina Reika,Tsuki no Curse ,Loveless
,Tegomass,Kimi + Boku = Love ,Lovely Complex
,Tegomass,Kiss Kaerimichi no Love Song ,Lovely Complex
,Emi Nitta,Meiyaku no Kanata ,Luck & Logic
,Shiraishi Minoru,Ore no wasuremono ,Lucky Star
,Aya hirano,CHA-LA HEAD-CHA-LA ,Lucky*Star
,Aya Hirano,Motteke! Sailor Fuku ,Lucky*Star
,ClariS,ALIVE,Lycoris Recoil
,Ichiko,Koi No Mahou ,Maburaho
,Hitomi Harada,Anicca ,Machine-Doll wa Kizutsukanai
,"Ai Kayano, Hitomi Harada, & Yui Ogura",Maware! Setsugetsuka ,Machine-Doll wa Kizutsukanai
,Yuuka Nanri,Yanyan ,Macross 0
,Chie Kajiura,...Dakedo Baby!! ,Macross 7
,Fire Bomber,Holy Lonely Light,Macross 7
,Chie Kajiura,My Friends ,Macross 7
,Yoshiki Fukuyama,Seventh Moon ,Macross 7
,Fire Bomber,Totsugeki Love Heart,Macross 7
,EMILIA,FLASH IN THE DARK,Macross 7: Ginga ga ore wo yondeiru!
,Megumi Nakajima,Ai oboete imasu ka ,Macross F
,Megumi Nakajima,Aimo ,Macross F
,May'n,Diamond Crevasse ,Macross F
,May'n,Kindan no Elixir ,Macross F
,May'n,Lion ,Macross F
,May'n,Northern Cross ,Macross F
,Megumi Nakajima,Seikan Hikou ,Macross F
,Maaya Sakamoto,Triangler ,Macross F
,May'n,Universal Bunny ,Macross F
,May'n & Megumi Nakajima,What 'Bout my Star ,Macross F
,Walküre,Bokura no Senjou ~Freija Solo ver.,Macross Δ
,Walküre,Hametsu no Junjou,Macross Δ
,Walküre,Ichido dake no Koi nara ,Macross Δ
,Walküre,Ikenai Borderline,Macross Δ
,Walküre,Zettai Reido ? Novatic ,Macross Δ
,Konomi Suzuki,Ginsen no Kaze ,Madan no Ou to Vanadis
,Hitomi Harada,Schwarzer Bogen ,Madan no Ou to Vanadis
,Miyu Tomita & Mariya Ise,Deep in Abyss ,Made in Abyss
,Riko Azuna,Katachi ,Made in Abyss
,"Miyu Tomita, Shiori Izawa & Mariya Ise","Tabi no Hidarite, Saihate no Migite ",Made in Abyss
,FictionJunction YUUKA,Hitomi no Kakera ,Madlax
,Claris,Connect ,Madoka Magica
,Kalafina,Magia ,Madoka Magica
,Aqua Timez,Eden,Magi: The Kingdom of Magic
,SID,ANNIVERSARY,Magi: The Kingdom of Magic
,ViViD,Hikari ,Magi: The Kingdom of Magic
,9nine,With You With Me ,Magi: The Kingdom of Magic
,Porno Graffitti,Matataku Hoshi no Shita de ,Magi: The Labyrinth of Magic
,Supercell,The Bravery,Magi: The Labyrinth of Magic
,SID,V.I.P ,Magi: The Labyrinth of Magic
,Nogizaka46,Yubi Bouenkyou,Magi: The Labyrinth of Magic
,LAGOON,Kimi no Matsu Sekai ,Magic Kaito 1412
,Galileo Galilei,Koi no Jumyou ,Magic Kaito 1412
,REVALCY,WHITE of CRIME,Magic Kaito 1412
,Yoshinari Keiko,Asu e no Yuuki ,Magic Knight Rayearth
,Naomi Tamura,Hikari to Kage wo Dakishimeta Mama ,Magic Knight Rayearth
,Naomi Tamura,Yuzurenai Negai ,Magic Knight Rayearth
,Nano,Born to be ,Mahou Sensou
,Yuuka Nanri,Senkou no Prisoner ,Mahou Sensou
,Manami Numakura,Sakebe ,Mahou Shoujo Ikusei Keikaku
,Nana Mizuki,Eternal Blaze ,Mahou Shoujo Lyrical Nanoha
,Nana Mizuki,Innocent Starter ,Mahou Shoujo Lyrical Nanoha
,NACHERRY,My dream girls,Mahou Shoujo ni Akogarete
,STAR?PRINCE,Glass no Ginga ,Mahou Shoujo Ore
,Garnidelia,Grilletto ,Mahouka
,LiSA,Rising Hope ,Mahouka
,ASCA,Howling ,Mahouka Koukou no Rettousei
,ELISA,Millenario ,Mahouka Koukou no Rettousei
,Rei Yasuda,Mirror ,Mahouka Koukou no Rettousei
,JUNNA,Here ,Mahoutsukai no Yome
,AIKI & AKINO from bless4,Tsuki no Mou Hanbun ,Mahoutsukai No Yome
,May'n,You ,Mahoutsukai no Yome
,Aki Misato,Kimi ga Sora Datta ,Mai-Hime
,Minami Kuribayashi,Shining Days ,Mai-Hime
,Aki Misato,U-n-d-e-r-standing! ,Maji de Watashi ni Koi Shinasai
,ChouCho,Haiiro no Saga ,Majo no Tabitabi
,Reina Ueda,Literature ,Majo no Tabitabi
,Road of Major,Kokoro e ,Major
,Devils and Realist,a shadow's love song ,Makai Ouji: Devils and Realist
,Devils and Realist,Believe My Dice ,Makai Ouji: Devils and Realist
,sweet ARMS,Cherish ,Maken-ki
,Misuzu Togashi,Fly Away ,Maken-ki
,StylipS,Junsui na Fujunbutsu ,Mangaka-san to Assistant-san to
,Yoshitsugu Matsuoka,Owarinaki Pantsu ,Mangaka-san to Assistant-san to
,Tomori Kusunoki,Hamidashimono ,Maou Gakuin no Futekigousha
,CIVILIAN feat. Tatsuhisa Suzuki,Seikai Fuseikai ,Maou Gakuin no Futekigousha
,Yuu Kobayashi,Hanaji ,Maria Holic
,Yuu Kobayashi,Kimi ni Mune Kyun ,Maria Holic
